alpha,loss
0.07696775333956221,0.003090721655637026
0.07817984394333483,0.0030907234864930313
0.07939193454710747,0.0030907256017128626
0.08060402515088011,0.0030907281751434007
0.08181611575465272,0.0030907300819953284
0.08302820635842537,0.0030907324557503065
0.08424029696219801,0.0030907348026831946
0.08545238756597062,0.0030907372566560906
0.08666447816974326,0.0030907395355403424
0.0878765687735159,0.003090742389112711
0.08908865937728852,0.003090744496633609
0.09030074998106116,0.003090746754904588
0.0915128405848338,0.0030907493797441322
0.09272493118860642,0.003090751226991415
0.09393702179237906,0.0030907539231081805
0.0951491123961517,0.003090756717324257
0.09636120299992432,0.003090758667886257
0.09757329360369696,0.0030907616111139455
0.0987853842074696,0.0030907640814781187
0.09999747481124222,0.003090766794482867
0.10120956541501486,0.0030907697622974714
0.1024216560187875,0.0030907724847396216
0.10363374662256011,0.0030907753080129624
0.10484583722633276,0.0030907778091728687
0.1060579278301054,0.003090780598173539
0.10727001843387801,0.003090783293048541
0.10848210903765065,0.003090786180396875
0.1096941996414233,0.0030907890314857164
0.11090629024519591,0.00309079191138347
0.11211838084896855,0.0030907950781285764
0.1133304714527412,0.003090797677139441
0.11454256205651381,0.0030908009109397727
0.11575465266028645,0.0030908039999504883
0.11696674326405909,0.0030908075027167798
0.1181788338678317,0.0030908102951943874
0.11939092447160435,0.0030908132041494053
0.12060301507537696,0.0030908165022730826
